N=7. We are checking a total of 77 Tableaux.
4: [[1, 3, 6], [2, 4, 7], [5]] True 2019-02-26 09:41:57.395603
59: [[1, 3, 4], [2, 7], [5], [6]] True 2019-02-26 09:44:27.930683
60: [[1, 2, 4], [3, 7], [5], [6]] True 2019-02-26 09:44:29.428932
76: [[1, 2, 4], [3, 5], [6], [7]] True 2019-02-26 09:44:30.208333
77: [[1, 2, 3], [4, 5], [6], [7]] True 2019-02-26 09:44:34.507120
56: [[1, 4, 5], [2, 7], [3], [6]] True 2019-02-26 09:44:51.788483
64: [[1, 2, 6], [3, 5], [4], [7]] True 2019-02-26 09:45:09.949555
65: [[1, 3, 6], [2, 4], [5], [7]] True 2019-02-26 09:45:11.915203
48: [[1, 3, 7], [2, 5], [4], [6]] True 2019-02-26 09:45:42.149357
74: [[1, 2, 5], [3, 4], [6], [7]] True 2019-02-26 09:45:49.133799
75: [[1, 3, 4], [2, 5], [6], [7]] True 2019-02-26 09:45:49.420789
57: [[1, 3, 5], [2, 7], [4], [6]] True 2019-02-26 09:47:24.949082
66: [[1, 2, 6], [3, 4], [5], [7]] True 2019-02-26 09:48:04.692879
